DI,COUNTRY_CODE,NUTS_LEVEL,NUTS_CODE,NDW_CP1,NDW_CP2,NDW_CP3,NDW_CP4,NDW_CP5,NDW_CP6,NDW_CP7,NDW_CP8,NDW_CP9,NDW_RES1,NDW_RES2,NDW_RES3,NDW_NRES,NDW_total,GFA_RES,GFA_NRES,Energy_RES,Energy_NRES
0.0000,56.0000,3.0000,0.0000,38.5841,8.2094,6.5675,5.7466,9.8358,9.8358,10.6105,4.5474,6.0631,60923.1875,2935.1672,17131.9824,1869.6602,82860.0000,8.0307,2.6253,1216.2870,336.8596
0.0000,56.0000,3.0000,0.0000,42.7122,6.4471,4.8353,4.8353,11.4223,11.4223,9.1627,4.5813,4.5813,56121.1836,2615.3982,9999.7852,1750.6348,70487.0000,6.9129,2.0174,1047.0873,246.3172
0.0000,56.0000,3.0000,0.0000,36.3377,15.2111,6.7605,5.0704,10.0369,10.0369,8.2733,3.3093,4.9640,48170.8828,2885.7683,16959.9473,2335.4021,70352.0000,6.6979,2.5765,1014.4746,350.5257
0.0000,56.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,51.1879,18.9993,7753.1128,2554.2034
0.0000,56.0000,3.0000,0.0000,36.2080,6.1631,5.3927,5.3927,12.7925,12.7925,9.9207,5.6689,5.6689,36099.0938,2735.0725,8070.2432,1375.5879,48280.0000,5.0181,1.6319,760.1052,208.8567
0.0000,56.0000,3.0000,0.0000,27.9717,11.5178,11.5178,9.8724,11.4963,11.4963,8.0639,3.2256,4.8383,165396.4219,15895.4854,110068.4375,7365.6528,298726.0000,29.1816,11.6002,4419.9111,1594.4458
0.0000,56.0000,3.0000,0.0000,30.7443,7.4986,5.2490,4.4992,12.6086,12.6086,13.3958,6.6979,6.6979,23850.2070,1775.5936,6334.7739,983.4255,32944.0000,3.1955,0.9751,484.0327,121.5902
0.0000,56.0000,3.0000,0.0000,31.6166,7.7114,6.1691,6.1691,14.1241,14.1241,11.4775,4.3041,4.3041,54469.8359,7927.2168,31808.4434,3270.4990,97476.0000,10.0486,3.4841,1521.9583,457.3225
0.0000,56.0000,3.0000,0.0000,14.7115,5.6044,9.1071,7.0055,18.9926,18.9926,15.3519,5.1173,5.1173,21587.3984,3224.3660,8642.4521,1409.7845,34864.0000,3.7442,1.3069,567.1050,171.9884
0.0000,56.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.1175,4.5551,1986.8248,598.1479
0.0000,56.0000,3.0000,0.0000,21.2629,9.1127,9.8721,6.8345,11.0589,11.0589,13.3913,8.0348,9.3739,16551.5938,1028.5109,8819.7139,602.1816,27002.0000,2.6263,0.9892,397.7736,133.7133
0.0000,56.0000,3.0000,0.0000,20.8659,6.2598,10.4330,4.1732,14.9008,14.9008,13.6144,6.1884,8.6637,16051.8721,1281.8628,4088.9539,952.3129,22375.0000,2.1732,0.7447,329.1536,97.3896
0.0000,56.0000,3.0000,0.0000,26.1195,6.7405,8.4256,7.5831,13.1841,13.1841,12.3815,6.1908,6.1908,23010.8555,1830.9717,4893.0063,1224.1658,30959.0000,2.9538,1.0615,447.4416,141.1599
0.0000,56.0000,3.0000,0.0000,28.7038,7.3599,6.6240,5.8880,13.7771,13.7771,10.6090,6.6306,6.6306,22062.7578,1868.3777,4802.7656,1210.0991,29944.0000,3.0358,1.0826,459.8063,143.5570
0.0000,56.0000,3.0000,0.0000,32.8019,6.8655,7.6284,6.1027,12.7802,12.7802,9.8191,5.6109,5.6109,18175.9746,1356.0459,3564.9121,881.0689,23978.0000,2.3284,0.6759,352.6496,82.3291
0.0000,56.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22.1794,8.5139,3359.4224,1157.4637
0.0000,56.0000,3.0000,0.0000,32.9159,6.4226,5.6198,7.2254,12.8234,12.8234,10.3457,5.9118,5.9118,40895.7617,3046.7905,9662.0918,2931.3608,56536.0000,5.3383,1.7316,808.5263,221.4090
0.0000,56.0000,3.0000,0.0000,32.5256,6.3465,6.3465,7.1398,12.8603,12.8603,10.2298,5.8456,5.8456,83106.9297,6857.5327,41087.8828,3952.6582,135005.0000,13.6902,5.8346,2073.5779,818.5637
0.0000,56.0000,3.0000,0.0000,38.1794,4.6750,3.1167,6.2334,14.3479,14.3479,8.8153,4.4076,5.8768,25943.4551,1747.0491,3391.9412,1531.5555,32614.0000,3.1518,0.9490,477.3176,117.4923
0.0000,56.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1482,0.0000,26.7587
0.0000,56.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1482,0.0000,26.7587
0.0000,56.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1482,0.0000,26.7587
0.0000,100.0000,0.0000,0.0000,1.5000,9.0000,16.9000,17.2000,21.4000,18.7000,6.8000,2.4000,6.2000,1745586.0000,271185.0000,1866039.0000,0.0000,3882810.0000,178.5295,93.7938,24595.0547,10976.8066
0.0000,100.0000,1.0000,0.0000,1.8000,10.6000,18.5000,16.8000,20.3000,16.9000,6.4000,2.3000,6.3000,1056661.0000,111832.0000,904408.0000,0.0000,2072901.0000,91.8823,38.9191,12658.1445,4101.0278
0.0000,100.0000,2.0000,0.0000,1.7000,15.7000,25.9000,17.6000,18.5000,14.5000,4.1000,0.8000,1.2000,326205.0000,24592.0000,157007.0000,0.0000,507804.0000,22.1314,7.8348,3048.9116,732.9056
0.0000,100.0000,3.0000,0.0000,2.9667,16.3717,25.9310,22.4149,14.1723,14.1723,3.0655,0.3484,0.5574,45001.3359,2717.6162,19678.0469,0.0000,67397.0000,2.8021,0.9162,386.0395,80.2987
0.0000,100.0000,3.0000,0.0000,1.4749,17.0669,29.4983,19.0685,14.9591,14.9591,2.1680,0.3717,0.4336,65738.4219,5942.9961,19150.5879,0.0000,90832.0000,3.9031,1.2934,537.7018,114.6962
0.0000,100.0000,3.0000,0.0000,1.2904,13.6567,29.3564,18.9257,16.6323,16.6323,2.4477,0.3969,0.6615,73520.7031,4673.7319,31879.5586,0.0000,110074.0000,4.9712,1.7221,684.8731,158.4147
0.0000,100.0000,3.0000,0.0000,0.9346,14.8503,28.4544,18.2773,15.8690,15.8690,3.4908,0.8000,1.4545,91041.9375,5210.8120,49178.2500,0.0000,145431.0000,6.3618,2.5034,876.4348,252.2909
0.0000,100.0000,3.0000,0.0000,3.4481,22.9513,23.3823,16.2707,15.0750,15.0750,2.5091,0.5425,0.7460,66139.0781,7145.6226,20785.3008,0.0000,94070.0000,4.0928,1.3989,563.8624,127.2067
0.0000,100.0000,2.0000,0.0000,3.5000,13.5000,18.7000,18.2000,21.4000,16.5000,4.5000,1.0000,2.7000,254591.0000,21166.0000,187797.0000,0.0000,463554.0000,20.7142,8.4387,2853.6594,869.0559
0.0000,100.0000,3.0000,0.0000,6.3793,20.4355,19.4624,15.3537,15.4354,15.4354,3.2360,1.0261,3.2360,84757.4297,7270.5063,51387.0547,0.0000,143415.0000,6.2444,2.6423,860.2952,278.2292
0.0000,100.0000,3.0000,0.0000,5.5316,18.1436,18.1436,19.2499,16.5481,16.5481,3.6853,0.6910,1.4588,40251.8242,6528.6021,32176.5742,0.0000,78957.0000,3.6383,1.2869,501.2081,120.3562
0.0000,100.0000,3.0000,0.0000,1.6603,9.1315,18.3668,18.5744,22.4541,22.4541,4.4001,0.9104,2.0483,63363.1445,4080.7983,56937.0586,0.0000,124381.0000,5.6590,2.5119,779.5955,271.6601
0.0000,100.0000,3.0000,0.0000,2.0015,10.6748,26.2422,25.6862,15.9803,15.9803,2.2224,0.3367,0.8755,42489.3516,2376.0586,14685.5889,0.0000,59551.0000,2.7099,1.0573,373.3199,106.0322
0.0000,100.0000,3.0000,0.0000,1.7383,10.8644,22.9238,26.8350,16.9052,16.9052,2.3926,0.4785,0.9570,38635.4180,2167.9907,16446.5879,0.0000,57250.0000,2.4626,0.9394,339.2407,92.7783
0.0000,100.0000,2.0000,0.0000,1.3000,8.3000,15.1000,15.7000,21.6000,18.6000,8.6000,3.3000,7.4000,226298.0000,26038.0000,244072.0000,0.0000,496408.0000,22.5884,11.2827,3111.8762,1292.0120
0.0000,100.0000,3.0000,0.0000,0.9773,5.9724,10.6418,14.3338,21.4404,21.4404,10.4158,4.6293,10.1488,91003.9453,12862.0186,139368.0312,0.0000,243234.0000,11.0696,6.7549,1525.0121,836.0540
0.0000,100.0000,3.0000,0.0000,0.8490,5.0943,24.1979,18.8913,18.9874,18.9874,6.3298,1.9156,4.7473,58074.6211,5038.8721,36607.5039,0.0000,99721.0000,4.4405,1.8412,611.7773,191.6558
0.0000,100.0000,3.0000,0.0000,2.6792,14.6818,17.8968,21.3262,18.8849,18.8849,3.2688,0.6686,1.7087,50090.7070,6820.7212,31514.5723,0.0000,88426.0000,4.0743,1.6192,561.2769,164.2439
0.0000,100.0000,3.0000,0.0000,2.5530,17.7645,22.5513,17.5517,17.0796,17.0796,3.4427,0.5127,1.4650,42747.2070,3180.7112,19099.0840,0.0000,65027.0000,3.0039,1.0665,413.8094,100.0583
0.0000,100.0000,2.0000,0.0000,0.9000,6.1000,14.8000,16.0000,20.0000,17.9000,7.9000,3.7000,12.6000,249567.0000,40036.0000,315532.0000,0.0000,605135.0000,26.4488,11.3630,3643.6973,1207.0535
0.0000,100.0000,3.0000,0.0000,0.6800,5.1000,11.9000,13.7133,15.3467,15.3467,8.7710,6.0360,23.1064,87025.3438,23202.4902,158537.1562,0.0000,268765.0000,11.1899,5.2726,1541.5969,587.6373
